"Campaign name","Ad set name","Ad name",Ads,Age,Gender,Objective,Day,Description,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (INR)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Adds to cart","Website adds to cart","Meta adds to cart","Cost per add to cart","Adds to cart conversion value","Website adds to cart conversion value",Purchases,"Website purchases","Shops-assisted purchases","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Shops-assisted purchases conversion value","Cost per purchase",Views,Viewers,"Gross impressions (includes invalid impressions from non-human traffic)","Results rate per link clicks","Average purchases conversion value","Auto-refresh impressions","Purchases rate per link clicks","Purchases rate per landing page views","Landing page views rate per link clicks","Result value type","Results value","Result value type","Results ROAS","Unique link clicks","Unique CTR (link click-through rate)","Unique clicks (all)","Unique CTR (all)","Meta purchase conversion value","Reporting starts","Reporting ends",Objective,"Performance goal","Buying type",Starts,Ends,Bid,"Bid type","Ad ID","Ad name","Ad Set Budget","Ad Set Budget Type","Campaign Budget","Campaign Budget Type","Campaign ID","Ad set name","Ad set ID","Campaign name",Currency,Description,headline,"Website URL",call_to_action_type,"Image hash","Image name","URL parameters","Included custom audiences","Excluded custom audiences"
"healthy D recipes","New Sales Ad Set",6,6,65+,female,OUTCOME_SALES,2026-06-23,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0,-,-,-,1,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-19,Ongoing,,ABSOLUTE_OCPM,120247278020580335,6,"Using campaign budget",,810,Daily,120247276897740335,"New Sales Ad Set",120247276897760335,"healthy D recipes",INR,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://diabitic-food-recipe.vercel.app/,LEARN_MORE,baffa04e41128188b6c99b8b59976bc9,ad_sweet_guiltfree_1781771893831_pro.jpg_105,1,,
"secretswap - 4 angles test-21 June","broad 35+","Convenience & Family - 2","Convenience & Family - 2",55-64,female,OUTCOME_SALES,2026-06-23,"7-Day Guarantee.Rated 4.9/5 by 2847+ healthy home cooks.",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.5,,0.1529727,-,-,-,3,50.9908999,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247445893700335,"Convenience & Family - 2","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,d28c67a72599aed176d689522503b263,ad_creative_thali_1781972868839.png_105_105,convienience,,
"secretswap - 4 angles test-21 June","broad 35+","Convenience & Family - 2","Convenience & Family - 2",65+,female,OUTCOME_SALES,2026-06-23,"7-Day Guarantee.Rated 4.9/5 by 2847+ healthy home cooks.",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.5,,3.64584934,-,-,-,3,1215.28311426,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247445893700335,"Convenience & Family - 2","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,d28c67a72599aed176d689522503b263,ad_creative_thali_1781972868839.png_105_105,convienience,,
"secretswap - 4 angles test-21 June","broad 35+","Convenience & Family - 2","Convenience & Family - 2",35-44,female,OUTCOME_SALES,2026-06-23,"7-Day Guarantee.Rated 4.9/5 by 2847+ healthy home cooks.",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.2549545,-,-,-,1,254.95449949,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247445893700335,"Convenience & Family - 2","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,d28c67a72599aed176d689522503b263,ad_creative_thali_1781972868839.png_105_105,convienience,,
"secretswap - 4 angles test-21 June","broad 35+","Flavor Focus - 4","Flavor Focus - 4",45-54,male,OUTCOME_SALES,2026-06-23,"Join 2,847+ Indian families eating healthier. ",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,2.65810526,-,-,-,1,2658.10526316,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247446284390335,"Flavor Focus - 4","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,42de942a5042d3e34c452b63760836a3,ad_creative_compliant_curry_1781973167022.png_105_105,flavor,,
"secretswap - 4 angles test-21 June","broad 35+","Flavor Focus - 4","Flavor Focus - 4",35-44,male,OUTCOME_SALES,2026-06-23,"Join 2,847+ Indian families eating healthier. ",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.17389474,-,-,-,1,173.89473684,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247446284390335,"Flavor Focus - 4","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,42de942a5042d3e34c452b63760836a3,ad_creative_compliant_curry_1781973167022.png_105_105,flavor,,
"secretswap - 4 angles test-21 June","broad 35+","Flavor Focus - 4","Flavor Focus - 4",55-64,male,OUTCOME_SALES,2026-06-23,"Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.24842105,-,-,-,1,248.42105263,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247446284390335,"Flavor Focus - 4","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,42de942a5042d3e34c452b63760836a3,ad_creative_compliant_curry_1781973167022.png_105_105,flavor,,
"secretswap - 4 angles test-21 June","broad 35+","Flavor Focus - 4","Flavor Focus - 4",65+,male,OUTCOME_SALES,2026-06-23,"Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,2,,1.56505263,-,-,-,2,782.52631579,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247446284390335,"Flavor Focus - 4","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,42de942a5042d3e34c452b63760836a3,ad_creative_compliant_curry_1781973167022.png_105_105,flavor,,
"secretswap - 4 angles test-21 June","broad 35+","Guilt Free desire -1","Guilt Free desire -1",65+,male,OUTCOME_SALES,2026-06-23,"7-Day Guarantee.Rated 4.9/5 by 2847+ healthy home cooks.",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,7.42418713,-,-,-,1,7424.1871345,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247443752280335,"Guilt Free desire -1","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,dd0ed0dd6548a950596a056b6fc569b2,ad_creative_sweets_1781972854192.png_105_105,"guilt free",,
"secretswap - 4 angles test-21 June","broad 35+","Convenience & Family - 2","Convenience & Family - 2",55-64,male,OUTCOME_SALES,2026-06-23,"7-Day Guarantee.Rated 4.9/5 by 2847+ healthy home cooks.",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,2.80449949,-,-,-,1,2804.49949444,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,2026-06-23,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247445893700335,"Convenience & Family - 2","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,d28c67a72599aed176d689522503b263,ad_creative_thali_1781972868839.png_105_105,convienience,,
"secretswap - 4 angles test-21 June","broad 35+","Convenience & Family - 2","Convenience & Family - 2",55-64,female,OUTCOME_SALES,2026-06-22,"Join 2,847+ Indian families eating healthier. ",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.2,-,-,-,1,200,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,2026-06-22,Sales,Conversions,AUCTION,2026-06-21,Ongoing,,ABSOLUTE_OCPM,120247445893700335,"Convenience & Family - 2","Using campaign budget",,610,Daily,120247443752180335,"broad 35+",120247443752270335,"secretswap - 4 angles test-21 June",INR,"Join 2,847+ Indian families eating healthier. ","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://secretswaprecipe.vercel.app/,LEARN_MORE,d28c67a72599aed176d689522503b263,ad_creative_thali_1781972868839.png_105_105,convienience,,
"healthy D recipes","New Sales Ad Set",8,8,55-64,female,OUTCOME_SALES,2026-06-22,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,4.8,-,-,-,1,4800,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,2026-06-22,Sales,Conversions,AUCTION,2026-06-19,Ongoing,,ABSOLUTE_OCPM,120247278162920335,8,"Using campaign budget",,810,Daily,120247276897740335,"New Sales Ad Set",120247276897760335,"healthy D recipes",INR,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://diabitic-food-recipe.vercel.app/,LEARN_MORE,7fb56a66d26daf5f5319d432f85b0d3e,715465146_2147447319445005_4414003214102813962_n.jpg_105_105,1,,
"healthy D recipes","New Sales Ad Set",8,8,55-64,male,OUTCOME_SALES,2026-06-22,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.04,-,-,-,1,40,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,2026-06-22,Sales,Conversions,AUCTION,2026-06-19,Ongoing,,ABSOLUTE_OCPM,120247278162920335,8,"Using campaign budget",,810,Daily,120247276897740335,"New Sales Ad Set",120247276897760335,"healthy D recipes",INR,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://diabitic-food-recipe.vercel.app/,LEARN_MORE,7fb56a66d26daf5f5319d432f85b0d3e,715465146_2147447319445005_4414003214102813962_n.jpg_105_105,1,,
"healthy D recipes","New Sales Ad Set",8,8,45-54,male,OUTCOME_SALES,2026-06-22,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,2,1,,1.49,-,-,-,2,745,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,2026-06-22,Sales,Conversions,AUCTION,2026-06-19,Ongoing,,ABSOLUTE_OCPM,120247278162920335,8,"Using campaign budget",,810,Daily,120247276897740335,"New Sales Ad Set",120247276897760335,"healthy D recipes",INR,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://diabitic-food-recipe.vercel.app/,LEARN_MORE,7fb56a66d26daf5f5319d432f85b0d3e,715465146_2147447319445005_4414003214102813962_n.jpg_105_105,1,,
"healthy D recipes","New Sales Ad Set",8,8,65+,male,OUTCOME_SALES,2026-06-22,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)",active,ad,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,0.34,-,-,-,1,340,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,2026-06-22,Sales,Conversions,AUCTION,2026-06-19,Ongoing,,ABSOLUTE_OCPM,120247278162920335,8,"Using campaign budget",,810,Daily,120247276897740335,"New Sales Ad Set",120247276897760335,"healthy D recipes",INR,"Join 2,847+ Indian families eating healthier. 7-Day Guarantee.Rated 4.9/5 by 14,200+ healthy home cooks.Get 100+ Low-GI Indian Recipes at 80% OFF (Instant Download)","100+ Clinically Reviewed Low-GI Indian Recipes 📚",https://diabitic-food-recipe.vercel.app/,LEARN_MORE,7fb56a66d26daf5f5319d432f85b0d3e,715465146_2147447319445005_4414003214102813962_n.jpg_105_105,1,,
